movie_name,genre,cast,director,tags
Jawan,"Action,Thriller","ShahRukhKhan, Nayanthara, VijaySethupathi, DeepikaPadukone",Atlee,"A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.Action,Thriller,Atlee,ShahRukhKhan, Nayanthara, VijaySethupathi, DeepikaPadukone"
Jaane Jaan,"Crime,Drama,Mystery","KareenaKapoor, JaideepAhlawat, VijayVarma, SaurabhSachdeva",Sujoy Ghosh,"A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.Crime,Drama,Mystery,Sujoy Ghosh,KareenaKapoor, JaideepAhlawat, VijayVarma, SaurabhSachdeva"
Jailer,"Action,Comedy,Crime","Rajinikanth, Mohanlal, Shivarajkumar, JackieShroff",Nelson Dilipkumar,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?Action,Comedy,Crime,Nelson Dilipkumar,Rajinikanth, Mohanlal, Shivarajkumar, JackieShroff"
Rocky Aur Rani Kii Prem Kahaani,"Comedy,Drama,Family","RanveerSingh, AliaBhatt, Dharmendra, ShabanaAzmi",Karan Johar,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.Comedy,Drama,Family,Karan Johar,RanveerSingh, AliaBhatt, Dharmendra, ShabanaAzmi"
OMG 2,"Comedy,Drama","PankajTripathi, AkshayKumar, YamiGautam, PawanMalhotra",Amit Rai,"An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.Comedy,Drama,Amit Rai,PankajTripathi, AkshayKumar, YamiGautam, PawanMalhotra"
Sukhee,Drama,"ShilpaShettyKundra, AmitSadh, ChaitannyaChoudhry, KushaKapila",Sonal Joshi,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.Drama,Sonal Joshi,ShilpaShettyKundra, AmitSadh, ChaitannyaChoudhry, KushaKapila"
The Great Indian Family,Family,"AlkaAmin, BhuvanArora, ManushiChhillar, SrishtiDixit",Vijay Krishna Acharya,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.Family,Vijay Krishna Acharya,AlkaAmin, BhuvanArora, ManushiChhillar, SrishtiDixit"
The BFG,"Adventure,Family,Fantasy","MarkRylance, RubyBarnhill, PenelopeWilton, JemaineClement",Steven Spielberg,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.Adventure,Family,Fantasy,Steven Spielberg,MarkRylance, RubyBarnhill, PenelopeWilton, JemaineClement"
Pathaan,"Action,Adventure,Thriller","ShahRukhKhan, DeepikaPadukone, JohnAbraham, DimpleKapadia",Siddharth Anand,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.Action,Adventure,Thriller,Siddharth Anand,ShahRukhKhan, DeepikaPadukone, JohnAbraham, DimpleKapadia"
Mastaney,"Action,Drama,History","TarsemJassar, SimiChahal, GurpreetGhuggi, KaramjitAnmol",Sharan Art,"Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.Action,Drama,History,Sharan Art,TarsemJassar, SimiChahal, GurpreetGhuggi, KaramjitAnmol"
3 Idiots,"Comedy,Drama","AamirKhan, Madhavan, MonaSingh, SharmanJoshi",Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".Comedy,Drama,Rajkumar Hirani,AamirKhan, Madhavan, MonaSingh, SharmanJoshi"
Satyaprem Ki Katha,"Comedy,Drama,Musical","KartikAaryan, KiaraAdvani, SupriyaPathak, GajrajRao",Sameer Vidwans,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.Comedy,Drama,Musical,Sameer Vidwans,KartikAaryan, KiaraAdvani, SupriyaPathak, GajrajRao"
Lion,"Biography,Drama","DevPatel, NicoleKidman, RooneyMara, SunnyPawar",Garth Davis,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.Biography,Drama,Garth Davis,DevPatel, NicoleKidman, RooneyMara, SunnyPawar"
Bholaa Shankar,"Action,Drama","Chiranjeevi, TamannaahBhatia, KeerthySuresh, RaghuBabu",Meher Ramesh,"A doting brother tries to hunt down notorious criminals who had harmed his sister.Action,Drama,Meher Ramesh,Chiranjeevi, TamannaahBhatia, KeerthySuresh, RaghuBabu"
Haddi,"Crime,Drama","NawazuddinSiddiqui, AnuragKashyap, Mohd. ZeeshanAyyub, ReshLamba",Akshat Ajay Sharma,"In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?Crime,Drama,Akshat Ajay Sharma,NawazuddinSiddiqui, AnuragKashyap, Mohd. ZeeshanAyyub, ReshLamba"
Friday Night Plan,"Comedy,Drama","BabilKhan, AmrithJayan, MedhaRana, AadhyaAnand",Vatsal Neelakantan,"When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.Comedy,Drama,Vatsal Neelakantan,BabilKhan, AmrithJayan, MedhaRana, AadhyaAnand"
Neeyat,"Crime,Mystery,Thriller","VidyaBalan, RamKapoor, RahulBose, NeerajKabi",Anu Menon,"When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.Crime,Mystery,Thriller,Anu Menon,VidyaBalan, RamKapoor, RahulBose, NeerajKabi"
Gadar 2,"Action,Adventure,Drama","SunnyDeol, AmrishPuri, NanaPatekar, AmeeshaPatel",Anil Sharma,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.Action,Adventure,Drama,Anil Sharma,SunnyDeol, AmrishPuri, NanaPatekar, AmeeshaPatel"
Por Thozhil,"Action,Crime,Thriller","R. Sarathkumar, AshokSelvan, NikhilaVimal, SarathBabu","Vignesh Raja, T. Senthil Paramasivam","A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.Action,Crime,Thriller,Vignesh Raja, T. Senthil Paramasivam,R. Sarathkumar, AshokSelvan, NikhilaVimal, SarathBabu"
Life of Pi,"Adventure,Drama,Fantasy","SurajSharma, IrrfanKhan, AdilHussain, Tabu",Ang Lee,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.Adventure,Drama,Fantasy,Ang Lee,SurajSharma, IrrfanKhan, AdilHussain, Tabu"
Asoka,"Action,Biography,Drama","ShahRukhKhan, KareenaKapoor, DannyDenzongpa, HrishitaaBhatt",Santosh Sivan,"The epic tale of King Asoka's life is recounted.Action,Biography,Drama,Santosh Sivan,ShahRukhKhan, KareenaKapoor, DannyDenzongpa, HrishitaaBhatt"
The Darjeeling Limited,"Adventure,Comedy,Drama","OwenWilson, AdrienBrody, JasonSchwartzman, AmaraKaran",Wes Anderson,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.Adventure,Comedy,Drama,Wes Anderson,OwenWilson, AdrienBrody, JasonSchwartzman, AmaraKaran"
Dangal,"Action,Biography,Drama","AamirKhan, SakshiTanwar, FatimaSanaShaikh, SanyaMalhotra",Nitesh Tiwari,"Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.Action,Biography,Drama,Nitesh Tiwari,AamirKhan, SakshiTanwar, FatimaSanaShaikh, SanyaMalhotra"
Tumbbad,"Drama,Fantasy,Horror","SohumShah, JyotiMalshe, AnitaDate-Kelkar, RonjiniChakraborty","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.Drama,Fantasy,Horror,Rahi Anil Barve, Anand Gandhi, Adesh Prasad,SohumShah, JyotiMalshe, AnitaDate-Kelkar, RonjiniChakraborty"
Dunki,"Comedy,Drama","ShahRukhKhan, TaapseePannu, BomanIrani, VickyKaushal",Rajkumar Hirani,"The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.Comedy,Drama,Rajkumar Hirani,ShahRukhKhan, TaapseePannu, BomanIrani, VickyKaushal"
Sirf Ek Bandaa Kaafi Hai,"Crime,Drama,Thriller","ManojBajpayee, SuryaMohanKulshreshtha, JaiHindKumar, NikhilPandey",Apoorv Singh Karki,"A common man with honesty and integrity can take on the system when he has truth on his side.Crime,Drama,Thriller,Apoorv Singh Karki,ManojBajpayee, SuryaMohanKulshreshtha, JaiHindKumar, NikhilPandey"
Gangs of Wasseypur,"Action,Comedy,Crime","ManojBajpayee, NawazuddinSiddiqui, TigmanshuDhulia, RichaChadha",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.Action,Comedy,Crime,Anurag Kashyap,ManojBajpayee, NawazuddinSiddiqui, TigmanshuDhulia, RichaChadha"
Khufiya,"Action,Biography,Crime","Tabu, AliFazal, WamiqaGabbi, AzmeriHaqueBadhon",Vishal Bhardwaj,"Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.Action,Biography,Crime,Vishal Bhardwaj,Tabu, AliFazal, WamiqaGabbi, AzmeriHaqueBadhon"
Animal,"Action,Crime,Drama","RanbirKapoor, TriptiiDimri, SaurabhSachdeva, AnilKapoor",Sandeep Reddy Vanga,"Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »Action,Crime,Drama,Sandeep Reddy Vanga,RanbirKapoor, TriptiiDimri, SaurabhSachdeva, AnilKapoor"
Miss Shetty Mr Polishetty,"Comedy,Drama,Romance","KeshavDeepak, AbhinavGomatam, Jayasudha, KoushikMahata",Mahesh Babu P.,"Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.Comedy,Drama,Romance,Mahesh Babu P.,KeshavDeepak, AbhinavGomatam, Jayasudha, KoushikMahata"
Bawaal,"Action,Drama,Romance","VarunDhawan, JanhviKapoor, ManojPahwa, AnjumanSaxena",Nitesh Tiwari,"A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.Action,Drama,Romance,Nitesh Tiwari,VarunDhawan, JanhviKapoor, ManojPahwa, AnjumanSaxena"
Brahmastra Part One: Shiva,"Action,Adventure,Fantasy","AmitabhBachchan, RanbirKapoor, AliaBhatt, NagarjunaAkkineni",Ayan Mukerji,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.Action,Adventure,Fantasy,Ayan Mukerji,AmitabhBachchan, RanbirKapoor, AliaBhatt, NagarjunaAkkineni"
